                             NODES INFORMATION FILE
ID          CX          CY          CZ          TrasX   TrasY   TrasZ   RotX    RotY    RotZ          
0	0	0	0	-1	-1	-1	-1	-1	-1
1	1	0	0	-1	-1	-1	-1	-1	-1
2	2	0	0	-1	-1	-1	-1	-1	-1
3	3	0	0	-1	-1	-1	-1	-1	-1
4	4	0	0	-1	-1	-1	-1	-1	-1
5	5	0	0	-1	-1	-1	-1	-1	-1
6	6	0	0	-1	-1	-1	-1	-1	-1
7	7	0	0	-1	-1	-1	-1	-1	-1
8	8	0	0	-1	-1	-1	-1	-1	-1
9	0	1	0	-1	-1	-1	-1	-1	-1
10	1	1	0	0	0	0	0	0	0
11	2	1	0	0	0	0	0	0	0
12	3	1	0	0	0	0	0	0	0
13	4	1	0	0	0	0	0	0	0
14	5	1	0	0	0	0	0	0	0
15	6	1	0	0	0	0	0	0	0
16	7	1	0	0	0	0	0	0	0
17	8	1	0	0	0	0	0	0	0
18	0	2	0	0	0	0	0	0	0
19	1	2	0	0	0	0	0	0	0
20	2	2	0	0	0	0	0	0	0
21	3	2	0	0	0	0	0	0	0
22	4	2	0	0	0	0	0	0	0
23	5	2	0	0	0	0	0	0	0
24	6	2	0	0	0	0	0	0	0
25	7	2	0	0	0	0	0	0	0
26	8	2	0	0	0	0	0	0	0
27	0	3	0	0	0	0	0	0	0
28	1	3	0	0	0	0	0	0	0
29	2	3	0	0	0	0	0	0	0
30	3	3	0	0	0	0	0	0	0
31	4	3	0	0	0	0	0	0	0
32	5	3	0	0	0	0	0	0	0
33	6	3	0	0	0	0	0	0	0
34	7	3	0	0	0	0	0	0	0
35	8	3	0	0	0	0	0	0	0
36	0	4	0	0	0	0	0	0	0
37	1	4	0	0	0	0	0	0	0
38	2	4	0	0	0	0	0	0	0
39	3	4	0	0	0	0	0	0	0
40	4	4	0	0	0	0	0	0	0
41	5	4	0	0	0	0	0	0	0
42	6	4	0	0	0	0	0	0	0
43	7	4	0	0	0	0	0	0	0
44	8	4	0	0	0	0	0	0	0
45	0	5	0	0	0	0	0	0	0
46	1	5	0	0	0	0	0	0	0
47	2	5	0	0	0	0	0	0	0
48	3	5	0	0	0	0	0	0	0
49	4	5	0	0	0	0	0	0	0
50	5	5	0	0	0	0	0	0	0
51	6	5	0	0	0	0	0	0	0
52	7	5	0	0	0	0	0	0	0
53	8	5	0	0	0	0	0	0	0
54	0	6	0	0	0	0	0	0	0
55	1	6	0	0	0	0	0	0	0
56	2	6	0	0	0	0	0	0	0
57	3	6	0	0	0	0	0	0	0
58	4	6	0	0	0	0	0	0	0
59	5	6	0	0	0	0	0	0	0
60	6	6	0	0	0	0	0	0	0
61	7	6	0	0	0	0	0	0	0
62	8	6	0	0	0	0	0	0	0
63	0	7	0	0	0	0	0	0	0
64	1	7	0	0	0	0	0	0	0
65	2	7	0	0	0	0	0	0	0
66	3	7	0	0	0	0	0	0	0
67	4	7	0	0	0	0	0	0	0
68	5	7	0	0	0	0	0	0	0
69	6	7	0	0	0	0	0	0	0
70	7	7	0	0	0	0	0	0	0
71	8	7	0	0	0	0	0	0	0
72	0	8	0	0	0	0	0	0	0
73	1	8	0	0	0	0	0	0	0
74	2	8	0	0	0	0	0	0	0
75	3	8	0	0	0	0	0	0	0
76	4	8	0	0	0	0	0	0	0
77	5	8	0	0	0	0	0	0	0
78	6	8	0	0	0	0	0	0	0
79	7	8	0	0	0	0	0	0	0
80	8	8	0	0	0	0	0	0	0
81	0	9	0	0	0	0	0	0	0
82	1	9	0	0	0	0	0	0	0
83	2	9	0	0	0	0	0	0	0
84	3	9	0	0	0	0	0	0	0
85	4	9	0	0	0	0	0	0	0
86	5	9	0	0	0	0	0	0	0
87	6	9	0	0	0	0	0	0	0
88	7	9	0	0	0	0	0	0	0
89	8	9	0	0	0	0	0	0	0
90	0	10	0	0	0	0	0	0	0
91	1	10	0	0	0	0	0	0	0
92	2	10	0	0	0	0	0	0	0
93	3	10	0	0	0	0	0	0	0
94	4	10	0	0	0	0	0	0	0
95	5	10	0	0	0	0	0	0	0
